ingredient_id,name
1,Calcium Chloride
2,Magnesium Chloride
3,Potassium Bicarbonate
4,Electrolytes
5,Sodium Bicarbonate
6,Magnesium Sulfate
8,Bromide
9,Chloride
10,Sulfate
12,Trihalomethanes
13,Sodium Sulfate
14,Gross Alpha
15,Gross Beta
16,Radium combined (226 and 228)
17,Silica
20,Arsenic
21,Barium
22,Fluoride
23,Nitrate
24,Uranium
25,Dipotassium Phosphate
26,Bicarbonate Alkalinity (as HCO3)
28,Pink Himalayan Salt
29,Bromodichloromethane
30,Chloroform
31,Dibromochloromethane
32,Radon
33,Potassium Chloride
34,Chloramine
35,CO2
36,Haloacetic acids (HAA9)
37,Haloacetic acids (HAA5)
38,Chromium (hexavalent)
39,Nitrite
40,Bromate
41,Calcium
42,Magnesium
43,Potassium
44,Bicarbonate
45,Sodium
46,Manganese
47,Aluminum
48,Glacial Water
49,Bromoform
50,Dibromoacetic acid
51,Dichloroacetic acid
52,Trichloroacetic acid
55,E. coli
56,Coliform Bacteria
57,Mountain Water
58,Nickel
59,Zinc
60,Chlorine Dioxide
61,Chlorine
62,Lead
63,Mercury
64,Cadmium
65,Copper
66,Spring water
67,"1,4-Dioxane"
68,Bromochloroacetic acid
69,PFAS
70,Tap water
71,Benzene
72,Asbestos
73,Particulates (class 1)
74,Magnesium
75,Mineral Water
76,Carbon Dioxide (CO2)
77,Boron
78,Thallium
79,Chromium (trivalent)
80,Antimony
81,Beryllium
82,Iron
83,Selenium
84,Silver
86,Cyanide
88,Carbon tetrachloride
89,Chlorate
91,"1,2,3-Trichloropropane"
93,"1,2-Dibromo-3-chloropropane"
94,Tetrachloroethylene (perchloroethylene)
95,PFBS
96,PFHxS
103,Milk Protein
104,Whey Protein
105,Added Sugar
107,Bisphenol-A (BPA)
108,Protein Blend
109,Creatine Monohydrate
110,Bisphenol A (BPA)
111,BetaTOR
112,HMB Free Acid
118,Sunflower Oil
119,Canola Oil
120,Natural and Artificial Flavors
125,Soluble Corn Fiber
127,Unsweetened Chocolate
132,Soluble Corn Fiber (Prebiotic Fiber)
134,PCBs
135,Organic peanuts
136,"Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)"
137,"Organic sugars (organic maple syrup, organic tapioca syrup, organic prune juice concentrate, organic date syrup)"
138,Organic Jerusalem artichoke powder
139,Organic hazelnut butter
140,Olive oil
141,Organic pea protein
142,Vanilla extract
143,Organic rice bran extract
145,Polydextrose
146,Polydextrose (Prebiotic Fiber)
147,Glycerin
148,Lecithin (Sunflower and/or Soy Lecithin)
149,Stevia Sweetener
150,Carrageenan
151,Acesulfame Potassium
152,Calcium Caseinate (Milk)
153,Sodium Caseinate (Milk)
154,Alkalized Cocoa Powder
155,Soluble Vegetable Fiber
156,Magnesium Phosphate
157,Cellulose Gum and Gel
158,Medium Chain Triglycerides
159,Ascorbic Acid (Vitamin C)
160,Milk Protein Isolate
161,Chromium polynicotinate
162,Purified stevia leaf extract
163,"Protein blend (whey, casein, milk protein concentrate)"
165,"Emulsifiers (carrageenan, cellulose gum)"
166,Pea Protein Isolate
167,Cocoa (Processed With Alkali)
168,Canola Protein Isolate
169,Brown Rice Protein Isolate
170,High Oleic Sunflower Oil
171,Sodium Gluconate
172,Sunflower Lecithin
173,L-Tryptophan
174,Cyanocobalamin (Vitamin B12)
175,Green tea concentrate
176,Magnesium glycinate
177,Stevia (Reb M)
178,Zinc citrate
179,Vitamin D (Cholecalciferol)
180,Vitamin B12 (Cyanocobalamin)
181,Black carrot extract
182,Butterfly pea flower extract
183,Delta- BHC (delta-Hexachlorocyclohexane)
184,Dichlorvos
185,Dieldrin
186,Diphenamid
188,Volatile Organic Compound (VOC)
189,Glyphosate
190,Pharmaceuticals
191,Heavy Metals
192,Total Dissolved Solids (TDS)
193,Disulfoton
194,Endosulfan Sulfate
195,Endrin
196,Endrin Aldehyde
197,Endrin Ketone
198,Endosulfan I
199,Endosulfan II
200,Ethoproph
201,Fenamiphos
202,Fluoridone
203,Gamma BHC (Lindane)
204,Heptachlor
206,Molinate
207,Prometon
209,Toxaphene
210,Acenaphthylene
211,Anthracene
212,Benz(a)anthracene
213,Benzo[b]fluoranthene
214,Benzo[k]fluoranthene
215,Benzo[a]pyrene
216,Benzo[ghi]perylene
217,Butyl Benzyl phthalate
218,Carboxin
219,2-Chlorobiphenyl
220,Chrysene
221,Cycloate
222,DCPA (Dacthal)
223,Diazinon
224,"Dibenz[a,h]anthracene"
225,Acesulphame Potassium
226,Sodium Citrates
227,Blue 1
228,Strawberry Flavor
229,Whey Protein Concentrate
230,Isomalto-Oligosaccharides (Soluble Vegetable Powder)
231,"Non-Dairy Creamer (Sunflower Oil, Maltodextrin, Sodium Caseinate [Milk Derivative], Mono-and Diglycerides, Tocopherols [Protect Flavor])"
232,Organic Oat Fiber
233,Lactoferrin
234,Cholecalciferol Vitamin A Palmitate
235,Cellulose Gel
236,Tripotassium Phosphate
237,Sodium Polyphosphates
238,Ascorbic Acid (Preserves Freshness)
239,Ferric Pyrophosphate
240,Vitamin E Acetate
241,Beta Carotene (Color)
242,Copper Gluconate
243,Pyridoxine Hydrochloride (Vitamin B6)
244,Thiamin Mononitrate (Vitamin B1)
245,Potassium Iodide
246,Chromium Chloride
247,Non-Fat Milk Powder
248,Cellulose Microcrystalline
249,Mono And Diglycerides Of Fatty Acids
250,Beet Powder (Added for Color)
251,Calcium Caseinate (Milk Derivative)
252,Sodium Caseinate (Milk Derivative)
253,Resistant Maltodextrin (Fibersol-2)
254,"PFAS (PFOA, PFBA, PFHpA)"
255,Phthalates
256,PFAS (PFOA/PFOS)
257,Pumpkin seed protein
258,Organic sunflower seed protein
259,Alfalfa protein
260,Tart cherry
261,Probiotics
262,"Pesticides (azoxystrobin, dimethomorph)"
263,Tricalcium Phosphate
264,Mixed Triglycerides
265,"Vitamins A, C, and D"
266,Strawberry flavoring
267,Organic Lime Juice
268,Organic Orange Juice
269,Organic and Natural Flavors
270,327 mg Amla Extract (Vitamin C)
271,284 mg Organic Lemon Balm (Leaf) Extract
272,249 mg Schisandra (Fruit) Extract
273,178 mg Organic Ashwagandha (Root) Powder
274,Citic Acid
275,97 mg L-Theanine
276,75 mg Organic Caffeine (From Green Coffee Beans)
277,67 mg Organic Ginseng
278,Stevia Extract
279,Gasoline
280,Diesel
281,Crude Oil
282,Kerosene
283,Mineral spirits
284,Refined Oil
285,Free Chlorine
286,Atenolol
287,"DEET (n,n-diethyl-meta-toluamide)"
288,Meprobamate
289,Linuron
290,Metolachlor
292,Tris (chloroisopropyl) phosphate (TCPP)
293,Phenytoin
294,Estrone
295,"2,4-Dichlorophenoxyacetic acid"
296,Dinoseb
297,Heptachlor Epoxide
298,Methyl tert-butyl ether (MTBE)
299,"Fenoprop (2,4,5 - TP silvex)"
300,Chlorobenzene
301,"4-(2,4-Dichlorophenoxy)butanoic acid / 2,4 -DB"
302,"2,4,5-Trichlorophenoxyacetic acid / 2,4,5-T"
303,"3,5-Dichlorobenzoic acid"
304,Acifluorfen
305,Bentazone
306,Chloramben
307,"2,2-Dichloropropionic acid / Dalapon"
308,"3,6-Dichloro-2-methoxybenzoic acid / Dicamba"
309,"4-Amino-3,5,6-trichloropicolinic acid / Picloram"
310,"3,7-Dichloro-8-quinolinecarboxylic acid / Quinclorac"
311,8:2 Fluorotelomer thioether amido sulfonic acid / 8:2 FTS
312,Perfluorodecanoic acid / PFDA
313,Polytetrafluoroethylene / PTFE
314,Bis(2-chloroethyl) ether
315,Butachlor / Machette
316,Butylate
317,Chlorpyrifos (CPF)
318,Fenarimol
319,Hexachlorobenzene (HCB)
320,Metribuzin
322,17-beta-Estradiol
323,Ethinyl estradiol
324,Fluoxetine
325,Testosterone
326,Di-n-octyl phthalate
327,Di(2-ethylhexyl) phthalate
328,Gross Alpha - Thorium 230
329,Gross Beta (Cesium 137)
330,2-Chloronaphthalene
331,2-Chlorophenol
333,"2,4-Dimethylphenol"
334,2-Nitrophenol
335,"Bis(2-chloroisopropyl)ether / 2,2'-Oxybis(1-chloropropane)"
336,"2,4-Dichlorophenol"
337,"2,4-Dinitrophenol"
338,"2,4-Dinitrotoluene"
339,"2,4,6-Trichlorophenol"
340,"2,6-Dinitrotoluene"
341,4-Bromophenyl phenyl ether
342,4-Chloro-3-methylphenol
343,4-Chlorophenyl phenyl ether
344,4-Nitrotoluene
345,Bis(2-chloroethoxy)methane
346,"4,6-dinitro-o-cresol"
347,Diphenylamine
348,Fluoranthene
349,Hexachloroethane
350,N-Nitrosodipropylamine
351,Nitrobenzene
352,Phenols
353,Pyrene
354,"1,1-Dichloro-2-propanone"
355,"1,1-Dichloroethene"
356,"1,1-Dichloropropane"
357,"1,1,2,2-Tetrachloroethane"
358,"1,2,3-Trichlorobenzene"
359,"1,2,4-Trimethylbenzene"
360,"1,3-Dichlorobenzene"
361,"1,3-Dichloropropane"
362,"1,3,5-Trimethylbenzene / Mesitylene"
363,"1,4-Dichlorobenzene"
364,"2,2-Dichloropropane"
365,4-Isopropyltoluene / p-CYMENE
366,Bromoacetonitrile
367,Bromobenzene
368,Bromochloromethane
369,Bromomethane
370,"1,1,1-Trichloro-2-propanone"
371,Chloroethane
372,Chloromethane
374,"cis-1,3-Dichloropropene"
375,Dibromomethane
376,Dichloroacetonitrile
377,Fluorotrichloromethane
378,Hexachlorobutadiene
379,Isopropylbenzene / Cumene
380,m-Xylene
381,Butylbenzene
382,Propylbenzene
383,o-Chlorotoluene
384,"o-Dichlorobenzene / 1,2-dichlorobenzene"
385,Naphthalene
386,o-Xylene
