product_name,product_company,original_ingredient,normalized_ingredient,confidence,match_type,alternatives,timestamp,ingredient_id,matched_name,status
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Protein Blend,protein blend,100.0,Fuzzy match (token_set_ratio),"[{'name': 'Protein blend (whey, casein, milk protein concentrate)', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Protein Blend', 'score': 88.0, 'scorer': 'partial_ratio'}, {'name': 'Proteins', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Electrolyte Blend', 'score': 72.0, 'scorer': 'partial_ratio'}, {'name': 'Organic pea protein', 'score': 70.0, 'scorer': 'token_set_ratio'}]",2025-05-29T20:04:23.977779,163,"Protein blend (whey, casein, milk protein concentrate)",mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Whey Protein Concentrate,whey protein concentrate,100.0,Synonym match,[],2025-05-29T20:04:23.984532,229,Whey Protein Concentrate,mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Whey Peptides,whey peptides,88.0,Fuzzy match (partial_ratio),"[{'name': 'Whey Peptides', 'score': 88.0, 'scorer': 'partial_ratio'}, {'name': 'TENDOFORTE Collagen Peptides', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Marine Collagen Peptides', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Hydrolysed Collagen Peptides', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Collagen Peptide', 'score': 69.56521739130434, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:23.991047,808,Whey Peptides,mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Cocoa Powder,cocoa powder,100.0,Fuzzy match (partial_ratio),"[{'name': 'Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Cocoa powder', 'score': 95.65217391304348, 'scorer': 'partial_ratio'}, {'name': 'Alkalized Cocoa Powder', 'score': 86.95652173913044, 'scorer': 'partial_ratio'}, {'name': 'Cocoa Powder (Processed with Alkali)', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Organic maca root powder', 'score': 81.81818181818181, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:23.995789,136,"Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)",mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Flavors,flavors,100.0,Fuzzy match (token_set_ratio),"[{'name': 'Natural flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Organic flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Artificial flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Natural and Artificial Flavors', 'score': 92.3076923076923, 'scorer': 'partial_ratio'}, {'name': 'Organic and Natural Flavors', 'score': 92.3076923076923, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:23.998403,513,Natural flavors,mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Creamer,creamer,85.71428571428572,Fuzzy match (partial_ratio),"[{'name': 'Non-Dairy Creamer (Sunflower Oil, Maltodextrin, Sodium Caseinate [Milk Derivative], Mono-and Diglycerides, Tocopherols [Protect Flavor])', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}, {'name': 'Organic coconut cream', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Vanilla Cream Pea Protein Isolate', 'score': 71.42857142857143, 'scorer': 'partial_ratio'}, {'name': 'Water', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Aspartame', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:24.001461,231,"Non-Dairy Creamer (Sunflower Oil, Maltodextrin, Sodium Caseinate [Milk Derivative], Mono-and Diglycerides, Tocopherols [Protect Flavor])",mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Salt,salt,100.0,Fuzzy match (token_set_ratio),"[{'name': 'Sea salt', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Sodium Chloride (salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Cobalt', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}, {'name': 'Pink Himalayan Salt', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:24.004743,570,Sea salt,mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,Sweeteners,sweeteners,94.73684210526316,Fuzzy match (partial_ratio),"[{'name': 'Artificial Sweeteners', 'score': 94.73684210526316, 'scorer': 'partial_ratio'}, {'name': 'Stevia Sweetener', 'score': 88.88888888888889, 'scorer': 'partial_ratio'}, {'name': 'Natural Sweetener', 'score': 88.88888888888889, 'scorer': 'partial_ratio'}, {'name': 'Sweetener (955)', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Unsweetened Chocolate', 'score': 80.0, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:24.008342,909,Artificial Sweeteners,mapped
Gold Standard 100% Whey Extreme Milk Chocolate,OPTIMUM NUTRITION,955,955,100.0,Fuzzy match (partial_ratio),"[{'name': 'Sucralose (955)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Sweetener (955)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Ci 15850 (Red 6)', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Bacillus coagulans MTCC 5856', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Acesulfame Potassium (950)', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:24.012312,805,Sucralose (955),mapped
"OPTIMUM NUTRITION Serious Mass Protein Powder Gainer, Chocolate",OPTIMUM NUTRITION,Maltodextrin,maltodextrin,95.65217391304348,Fuzzy match (partial_ratio),"[{'name': 'Maltodextrin', 'score': 95.65217391304348, 'scorer': 'partial_ratio'}, {'name': 'Non-Dairy Creamer (Sunflower Oil, Maltodextrin, Sodium Caseinate [Milk Derivative], Mono-and Diglycerides, Tocopherols [Protect Flavor])', 'score': 91.66666666666666, 'scorer': 'partial_ratio'}, {'name': 'Resistant Maltodextrin (Fibersol-2)', 'score': 91.66666666666666, 'scorer': 'partial_ratio'}, {'name': 'Salt', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Zinc', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T20:04:24.018599,703,Maltodextrin,mapped
