product_name,product_company,original_ingredient,normalized_ingredient,confidence,match_type,alternatives,timestamp,ingredient_id,matched_name,status
"OPTIMUM NUTRITION Serious Mass Protein Powder Gainer, Chocolate",OPTIMUM NUTRITION,Soybeans,soybeans,80.0,Fuzzy match (partial_ratio),"[{'name': 'Soybean Oil', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soybean Lecithin', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soy', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '3,6-Dichloro-2-methoxybenzoic acid / Dicamba', 'score': 62.5, 'scorer': 'partial_ratio'}, {'name': 'Isopropylbenzene / Cumene', 'score': 62.5, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.145210,,Soybean Oil,unmapped
"OPTIMUM NUTRITION Gold Standard 100% Whey Protein Powder, Vanilla Ice Cream",OPTIMUM NUTRITION,Soybeans,soybeans,80.0,Fuzzy match (partial_ratio),"[{'name': 'Soybean Oil', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soybean Lecithin', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soy', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '3,6-Dichloro-2-methoxybenzoic acid / Dicamba', 'score': 62.5, 'scorer': 'partial_ratio'}, {'name': 'Isopropylbenzene / Cumene', 'score': 62.5, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.191154,,Soybean Oil,unmapped
Berocca Energy Multivitamin with B Vitamins,Berocca,Vitamin B1,vitamin b1,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Vitamin K1', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin B1', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin E', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.198165,,Vitamin K1,unmapped
Berocca Energy Multivitamin with B Vitamins,Berocca,15 mg Vitamin B3,vitamin b3,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Vitamin D3', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin B3', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin E', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.201411,,Vitamin D3,unmapped
Berocca Energy Multivitamin with B Vitamins,Berocca,50 mg Vitamin B5,vitamin b5,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Vitamin B5', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin E', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'DL-alpha tocopheryl acetate (vitamin E)', 'score': 80.0, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.203949,,Vitamin B5,unmapped
Berocca Energy Multivitamin with B Vitamins,Berocca,23 mg Vitamin B6,vitamin b6,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Vitamin B6', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin E', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Pyridoxine Hydrochloride (Vitamin B6)', 'score': 80.0, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.206561,,Vitamin B6,unmapped
"Swisse Ultiboost Iron, 30 Tablets",Swisse,20 mgVitamin C,20 mgvitamin c,82.35294117647058,Fuzzy match (partial_ratio),"[{'name': 'Vitamin E', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 82.35294117647058, 'scorer': 'partial_ratio'}, {'name': 'Vitamin D3', 'score': 77.77777777777779, 'scorer': 'partial_ratio'}, {'name': 'Vitamin B3', 'score': 77.77777777777779, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.214574,,Vitamin E,unmapped
"Swisse Ultiboost Iron, 30 Tablets",Swisse,16.52 mgVitamin B6,16.52 mgvitamin b6,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Vitamin B6', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Vitamin E', 'score': 77.77777777777779, 'scorer': 'partial_ratio'}, {'name': 'Vitamin A', 'score': 77.77777777777779, 'scorer': 'partial_ratio'}, {'name': 'Vitamin C', 'score': 77.77777777777779, 'scorer': 'partial_ratio'}, {'name': 'Vitamin D3', 'score': 73.6842105263158, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.217435,,Vitamin B6,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,Soy,soy,80.0,Fuzzy match (partial_ratio),"[{'name': 'Soy', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Asbestos', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Electrolytes', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Antimony', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Creatine Monohydrate', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.232157,,Soy,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,Dietary Fibre,dietary fibre,66.66666666666667,Fuzzy match (partial_ratio),"[{'name': 'Iodine', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Simetryn', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Organic Pea Fibre', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Fiber', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Resistant Maltodextrin (Fibersol-2)', 'score': 61.53846153846154, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.237445,,Iodine,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,OptiBiome,optibiome,60.0,Fuzzy match (partial_ratio),"[{'name': 'Bromide', 'score': 60.0, 'scorer': 'partial_ratio'}, {'name': 'Bromate', 'score': 60.0, 'scorer': 'partial_ratio'}, {'name': 'Biotin', 'score': 60.0, 'scorer': 'partial_ratio'}, {'name': 'Cassava root fiber', 'score': 58.82352941176471, 'scorer': 'partial_ratio'}, {'name': 'Chicory Root Fibre', 'score': 58.82352941176471, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.242223,,Bromide,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,Sodium Molybdate,sodium molybdate,83.33333333333334,Fuzzy match (partial_ratio),"[{'name': 'Sodium', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Water', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Potassium sorbate', 'score': 71.42857142857143, 'scorer': 'partial_ratio'}, {'name': 'Sodium Ascorbate', 'score': 70.96774193548387, 'scorer': 'partial_ratio'}, {'name': 'Disodium EDTA', 'score': 70.0, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.271297,,Sodium,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,Thickeners,thickeners,84.21052631578947,Fuzzy match (partial_ratio),"[{'name': 'Thickener (415)', 'score': 84.21052631578947, 'scorer': 'partial_ratio'}, {'name': 'Artificial Sweeteners', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Dimethicone', 'score': 70.58823529411764, 'scorer': 'partial_ratio'}, {'name': 'Nickel', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Stevia Sweetener', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.282440,,Thickener (415),unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,412,412,80.0,Fuzzy match (partial_ratio),"[{'name': 'Vitamin B12', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Americium 241', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': '12-Stage Ultra-Purified Structured Water', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': '1,2,3-Trichloropropane', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '1,2-Dibromo-3-chloropropane', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.285203,,Americium 241,unmapped
Optiman Premium Shake For Him - Chocolate,Optslim,B12,b12,80.0,Fuzzy match (partial_ratio),"[{'name': 'Vitamin B12', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': '12-Stage Ultra-Purified Structured Water', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': '1,2,3-Trichloropropane', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '1,2-Dibromo-3-chloropropane', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Cyanocobalamin (Vitamin B12)', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.293512,,12-Stage Ultra-Purified Structured Water,unmapped
Dymatize ISO100 - Chocolate Peanut Butter,Dymatize,Soybeans,soybeans,80.0,Fuzzy match (partial_ratio),"[{'name': 'Soybean Oil', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soybean Lecithin', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soy', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '3,6-Dichloro-2-methoxybenzoic acid / Dicamba', 'score': 62.5, 'scorer': 'partial_ratio'}, {'name': 'Isopropylbenzene / Cumene', 'score': 62.5, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.316549,,Soybean Oil,unmapped
Dymatize ISO100 - Vanilla,Dymatize,Soybeans,soybeans,80.0,Fuzzy match (partial_ratio),"[{'name': 'Soybean Oil', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soybean Lecithin', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Soy', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': '3,6-Dichloro-2-methoxybenzoic acid / Dicamba', 'score': 62.5, 'scorer': 'partial_ratio'}, {'name': 'Isopropylbenzene / Cumene', 'score': 62.5, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.330431,,Soybean Oil,unmapped
Amazonia Raw Protein Isolate Vanilla,Amazonia,Organic Pea Fibre,organic pea fibre,84.84848484848484,Fuzzy match (partial_ratio),"[{'name': 'Organic Pea Fibre', 'score': 84.84848484848484, 'scorer': 'partial_ratio'}, {'name': 'organic brewed yerba mate', 'score': 78.57142857142857, 'scorer': 'partial_ratio'}, {'name': 'Organic pea protein', 'score': 77.41935483870968, 'scorer': 'partial_ratio'}, {'name': 'Organic peanuts', 'score': 76.92307692307692, 'scorer': 'partial_ratio'}, {'name': 'organic pineapple juice concentrate', 'score': 75.86206896551724, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.352496,,Organic Pea Fibre,unmapped
"BSN SYNTHA-6 Ultra Premium Protein Blend, Chocolate",BSN,Protein Matrix Comprised of,protein matrix comprised of,80.0,Fuzzy match (partial_ratio),"[{'name': 'Proteins', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Bromate', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Spring water', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Protein Blend', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}, {'name': 'Biotin', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",2025-05-29T18:56:24.367543,,Proteins,unmapped
