alternatives,confidence,ingredient_id,match_type,matched_name,normalized_ingredient,original_ingredient,product_company,product_name,status,timestamp,mapping_source,note,fully_mapped
"[{'name': 'Protein blend (whey, casein, milk protein concentrate)', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Protein Blend', 'score': 88.0, 'scorer': 'partial_ratio'}, {'name': 'Proteins', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Electrolyte Blend', 'score': 72.0, 'scorer': 'partial_ratio'}, {'name': 'Organic pea protein', 'score': 70.0, 'scorer': 'token_set_ratio'}]",100.0,163,Fuzzy match (token_set_ratio),"Protein blend (whey, casein, milk protein concentrate)",protein blend,Protein Blend,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.339903,auto,,False
"[{'name': 'Soy protein isolate', 'score': 89.47368421052632, 'scorer': 'partial_ratio'}, {'name': 'Whey Protein Isolate', 'score': 85.0, 'scorer': 'partial_ratio'}, {'name': 'Whey Protein', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Whole milk', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Pea Protein Isolate', 'score': 78.94736842105263, 'scorer': 'partial_ratio'}]",89.47368421052632,1076,Fuzzy match (partial_ratio),Soy protein isolate,whey protein isolate milk,Whey Protein Isolate MILK,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.343435,auto,,False
"[{'name': 'Whey Protein Concentrate', 'score': 87.5, 'scorer': 'partial_ratio'}, {'name': 'Whey Protein', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Micro-filtered Whey Protein Concentrate', 'score': 80.76923076923077, 'scorer': 'partial_ratio'}, {'name': 'Protein blend (whey, casein, milk protein concentrate)', 'score': 80.0, 'scorer': 'partial_ratio'}, {'name': 'Milk Protein Concentrate', 'score': 79.24528301886792, 'scorer': 'token_sort_ratio'}]",87.5,229,Fuzzy match (partial_ratio),Whey Protein Concentrate,whey protein concentrate milk,Whey Protein Concentrate MILK,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.347688,auto,,False
[],100.0,802,Synonym match,Soy Lecithin,soy lecithin,Soy Lecithin,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.351367,auto,,False
"[{'name': 'Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Cocoa powder', 'score': 95.65217391304348, 'scorer': 'partial_ratio'}, {'name': 'Alkalized Cocoa Powder', 'score': 86.95652173913044, 'scorer': 'partial_ratio'}, {'name': 'Cocoa Powder (Processed with Alkali)', 'score': 83.33333333333334, 'scorer': 'partial_ratio'}, {'name': 'Organic maca root powder', 'score': 81.81818181818181, 'scorer': 'partial_ratio'}]",100.0,136,Fuzzy match (partial_ratio),"Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)",cocoa powder,Cocoa Powder,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.354547,auto,,False
"[{'name': 'Natural flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Organic flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Artificial flavors', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Natural and Artificial Flavors', 'score': 92.3076923076923, 'scorer': 'partial_ratio'}, {'name': 'Organic and Natural Flavors', 'score': 92.3076923076923, 'scorer': 'partial_ratio'}]",100.0,513,Fuzzy match (token_set_ratio),Natural flavors,flavors,Flavors,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.357704,auto,,False
"[{'name': 'Sea salt', 'score': 100.0, 'scorer': 'token_set_ratio'}, {'name': 'Dark chocolate (Fairtrade cocoa butter, Fairtrade cocoa powder, organic coconut sugar, salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Sodium Chloride (salt)', 'score': 100.0, 'scorer': 'partial_ratio'}, {'name': 'Cobalt', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}, {'name': 'Pink Himalayan Salt', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}]",100.0,570,Fuzzy match (token_set_ratio),Sea salt,salt,Salt,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.363120,auto,,False
"[{'name': 'Sweetener (955)', 'score': 85.71428571428572, 'scorer': 'partial_ratio'}, {'name': 'Artificial Sweeteners', 'score': 78.26086956521739, 'scorer': 'partial_ratio'}, {'name': 'Stevia Sweetener', 'score': 72.72727272727273, 'scorer': 'partial_ratio'}, {'name': 'Natural Sweetener', 'score': 72.72727272727273, 'scorer': 'partial_ratio'}, {'name': 'Unsweetened Chocolate', 'score': 69.23076923076923, 'scorer': 'partial_ratio'}]",85.71428571428572,1192,Fuzzy match (partial_ratio),Sweetener (955),sweeteners 955,Sweeteners 955,,Gold Standard 100% Whey Extreme Milk Chocolate,mapped,2025-06-16T02:04:31.368698,auto,,False
"[{'name': 'Maltodextrin', 'score': 95.65217391304348, 'scorer': 'partial_ratio'}, {'name': 'Non-Dairy Creamer (Sunflower Oil, Maltodextrin, Sodium Caseinate [Milk Derivative], Mono-and Diglycerides, Tocopherols [Protect Flavor])', 'score': 91.66666666666666, 'scorer': 'partial_ratio'}, {'name': 'Resistant Maltodextrin (Fibersol-2)', 'score': 91.66666666666666, 'scorer': 'partial_ratio'}, {'name': 'Salt', 'score': 75.0, 'scorer': 'partial_ratio'}, {'name': 'Zinc', 'score': 66.66666666666667, 'scorer': 'partial_ratio'}]",95.65217391304348,703,Fuzzy match (partial_ratio),Maltodextrin,maltodextrin,Maltodextrin,,"OPTIMUM NUTRITION Serious Mass Protein Powder Gainer, Chocolate",mapped,2025-06-16T02:04:31.372197,auto,,False
[],100.0,229,Synonym match,Whey Protein Concentrate,whey protein concentrate,Whey Protein Concentrate,,"OPTIMUM NUTRITION Serious Mass Protein Powder Gainer, Chocolate",mapped,2025-06-16T02:04:31.372689,auto,,False
